eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Perdix dauurica,Perdix dauurica,Perdix dauurica,Perdix dauurica,Perdix dauurica
Perdix hodgsoniae,Perdix hodgsoniae,Perdix hodgsoniae,Perdix hodgsoniae,Perdix hodgsoniae
Rhizothera longirostris,Rhizothera longirostris,Rhizothera longirostris,Rhizothera longirostris,Rhizothera longirostris
Margaroperdix madagarensis,Margaroperdix madagarensis,Margaroperdix madagascariensis,Margaroperdix madagarensis,Margaroperdix madagarensis
Melanoperdix niger,Melanoperdix niger,Melanoperdix niger,Melanoperdix niger,Melanoperdix niger
Coturnix coturnix,Coturnix coturnix,Coturnix coturnix,Coturnix coturnix,Coturnix coturnix
Coturnix japonica,Coturnix japonica,Coturnix japonica,Coturnix japonica,Coturnix japonica
Coturnix pectoralis,Coturnix pectoralis,Coturnix pectoralis,Coturnix pectoralis,Coturnix pectoralis
Coturnix coromandelica,Coturnix coromandelica,Coturnix coromandelica,Coturnix coromandelica,Coturnix coromandelica
Coturnix delegorguei,Coturnix delegorguei,Coturnix delegorguei,Coturnix delegorguei,Coturnix delegorguei
Synoicus ypsilophorus,Synoicus ypsilophorus,Coturnix ypsilophora,Synoicus ypsilophorus,Synoicus ypsilophorus
Synoicus chinensis,Synoicus chinensis,Coturnix chinensis,Synoicus chinensis,Synoicus chinensis
Synoicus monorthonyx,Synoicus monorthonyx,Anurophasis monorthonyx,Anurophasis monorthonyx,Synoicus monorthonyx
Perdicula asiatica,Perdicula asiatica,Perdicula asiatica,Perdicula asiatica,Perdicula asiatica
Perdicula argoondah,Perdicula argoondah,Perdicula argoondah,Perdicula argoondah,Perdicula argoondah
Perdicula erythrorhyncha,Perdicula erythrorhyncha,Perdicula erythrorhyncha,Perdicula erythrorhyncha,Perdicula erythrorhyncha
Perdicula manipurensis,Perdicula manipurensis,Perdicula manipurensis,Perdicula manipurensis,Perdicula manipurensis
Xenoperdix udzungwensis,Xenoperdix udzungwensis,Xenoperdix udzungwensis,Xenoperdix udzungwensis,Xenoperdix udzungwensis
Arborophila torqueola,Arborophila torqueola,Arborophila torqueola,Arborophila torqueola,Arborophila torqueola
Arborophila rufogularis,Arborophila rufogularis,Arborophila rufogularis,Arborophila rufogularis,Arborophila rufogularis
Arborophila atrogularis,Arborophila atrogularis,Arborophila atrogularis,Arborophila atrogularis,Arborophila atrogularis
Arborophila crudigularis,Arborophila crudigularis,Arborophila crudigularis,Arborophila crudigularis,Arborophila crudigularis
Arborophila mandellii,Arborophila mandellii,Arborophila mandellii,Arborophila mandellii,Arborophila mandellii
Arborophila brunneopectus,Arborophila brunneopectus,Arborophila brunneopectus,Arborophila brunneopectus,Arborophila brunneopectus
Arborophila rufipectus,Arborophila rufipectus,Arborophila rufipectus,Arborophila rufipectus,Arborophila rufipectus
Arborophila orientalis,Arborophila orientalis,Arborophila orientalis,Arborophila orientalis,Arborophila orientalis
Arborophila javanica,Arborophila javanica,Arborophila javanica,Arborophila javanica,Arborophila javanica
Arborophila hyperythra,Arborophila hyperythra,Arborophila hyperythra,Arborophila hyperythra,Arborophila hyperythra
Arborophila gingica,Arborophila gingica,Arborophila gingica,Arborophila gingica,Arborophila gingica
Arborophila davidi,Arborophila davidi,Arborophila davidi,Arborophila davidi,Arborophila davidi
Arborophila cambodiana,Arborophila cambodiana,Arborophila cambodiana,Arborophila cambodiana,Arborophila cambodiana
Arborophila rubrirostris,Arborophila rubrirostris,Arborophila rubrirostris,Arborophila rubrirostris,Arborophila rubrirostris
Arborophila ardens,Arborophila ardens,Arborophila ardens,Arborophila ardens,Arborophila ardens
Tropicoperdix chloropus,Tropicoperdix chloropus,Arborophila chloropus,Tropicoperdix chloropus,Tropicoperdix chloropus
Tropicoperdix chloropus,Tropicoperdix chloropus,Arborophila charltonii,Tropicoperdix chloropus,Tropicoperdix chloropus
Caloperdix oculeus,Caloperdix oculeus,Caloperdix oculeus,Caloperdix oculeus,Caloperdix oculeus
Haematortyx sanguiniceps,Haematortyx sanguiniceps,Haematortyx sanguiniceps,Haematortyx sanguiniceps,Haematortyx sanguiniceps
Rollulus rouloul,Rollulus rouloul,Rollulus rouloul,Rollulus rouloul,Rollulus rouloul
Ptilopachus petrosus,Ptilopachus petrosus,Ptilopachus petrosus,Ptilopachus petrosus,Ptilopachus petrosus
Bambusicola fytchii,Bambusicola fytchii,Bambusicola fytchii,Bambusicola fytchii,Bambusicola fytchii
Bambusicola thoracicus,Bambusicola thoracicus,Bambusicola thoracicus,Bambusicola thoracicus,Bambusicola thoracicus
Galloperdix spadicea,Galloperdix spadicea,Galloperdix spadicea,Galloperdix spadicea,Galloperdix spadicea
Galloperdix lunulata,Galloperdix lunulata,Galloperdix lunulata,Galloperdix lunulata,Galloperdix lunulata
Galloperdix bicalcarata,Galloperdix bicalcarata,Galloperdix bicalcarata,Galloperdix bicalcarata,Galloperdix bicalcarata
Ithaginis cruentus,Ithaginis cruentus,Ithaginis cruentus,Ithaginis cruentus,Ithaginis cruentus
Tragopan melanocephalus,Tragopan melanocephalus,Tragopan melanocephalus,Tragopan melanocephalus,Tragopan melanocephalus
Tragopan satyra,Tragopan satyra,Tragopan satyra,Tragopan satyra,Tragopan satyra
Tragopan blythii,Tragopan blythii,Tragopan blythii,Tragopan blythii,Tragopan blythii
Tragopan temminckii,Tragopan temminckii,Tragopan temminckii,Tragopan temminckii,Tragopan temminckii
Tragopan caboti,Tragopan caboti,Tragopan caboti,Tragopan caboti,Tragopan caboti
Pucrasia macrolopha,Pucrasia macrolopha,Pucrasia macrolopha,Pucrasia macrolopha,Pucrasia macrolopha
Lophophorus impejanus,Lophophorus impejanus,Lophophorus impejanus,Lophophorus impejanus,Lophophorus impejanus
Lophophorus sclateri,Lophophorus sclateri,Lophophorus sclateri,Lophophorus sclateri,Lophophorus sclateri
Lophophorus lhuysii,Lophophorus lhuysii,Lophophorus lhuysii,Lophophorus lhuysii,Lophophorus lhuysii
Gallus gallus,Gallus gallus,Gallus gallus,Gallus gallus,Gallus gallus
Gallus sonneratii,Gallus sonneratii,Gallus sonneratii,Gallus sonneratii,Gallus sonneratii
Gallus lafayettii,Gallus lafayettii,Gallus lafayetii,Gallus lafayettii,Gallus lafayettii
Gallus varius,Gallus varius,Gallus varius,Gallus varius,Gallus varius
Lophura leucomelanos,Lophura leucomelanos,Lophura leucomelanos,Lophura leucomelanos,Lophura leucomelanos
Lophura nycthemera,Lophura nycthemera,Lophura nycthemera,Lophura nycthemera,Lophura nycthemera
Lophura edwardsi,Lophura edwardsi,Lophura edwardsi,Lophura edwardsi,Lophura edwardsi
Lophura swinhoii,Lophura swinhoii,Lophura swinhoii,Lophura swinhoii,Lophura swinhoii
Lophura inornata,Lophura inornata,Lophura inornata,Lophura inornata,Lophura inornata
Lophura erythrophthalma,Lophura erythrophthalma,Lophura erythrophthalma,Lophura erythrophthalma,Lophura erythrophthalma
Lophura ignita,Lophura ignita,Lophura ignita,Lophura ignita,Lophura ignita
Lophura diardi,Lophura diardi,Lophura diardi,Lophura diardi,Lophura diardi
Lophura bulweri,Lophura bulweri,Lophura bulweri,Lophura bulweri,Lophura bulweri
Crossoptilon crossoptilon,Crossoptilon crossoptilon,Crossoptilon crossoptilon,Crossoptilon crossoptilon,Crossoptilon crossoptilon
Crossoptilon mantchuricum,Crossoptilon mantchuricum,Crossoptilon mantchuricum,Crossoptilon mantchuricum,Crossoptilon mantchuricum
Crossoptilon auritum,Crossoptilon auritum,Crossoptilon auritum,Crossoptilon auritum,Crossoptilon auritum
Catreus wallichii,Catreus wallichii,Catreus wallichi,Catreus wallichii,Catreus wallichii
Syrmaticus ellioti,Syrmaticus ellioti,Syrmaticus ellioti,Syrmaticus ellioti,Syrmaticus ellioti
Syrmaticus humiae,Syrmaticus humiae,Syrmaticus humiae,Syrmaticus humiae,Syrmaticus humiae
Syrmaticus mikado,Syrmaticus mikado,Syrmaticus mikado,Syrmaticus mikado,Syrmaticus mikado
Syrmaticus soemmerringii,Syrmaticus soemmerringii,Syrmaticus soemmerringii,Syrmaticus soemmerringii,Syrmaticus soemmerringii
Syrmaticus reevesii,Syrmaticus reevesii,Syrmaticus reevesii,Syrmaticus reevesii,Syrmaticus reevesii
Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus
Chrysolophus pictus,Chrysolophus pictus,Chrysolophus pictus,Chrysolophus pictus,Chrysolophus pictus
Chrysolophus amherstiae,Chrysolophus amherstiae,Chrysolophus amherstiae,Chrysolophus amherstiae,Chrysolophus amherstiae
