eBird_Clements_v2022,eBird_Clements_v2021,BirdLife_v3,BirdLife_v7,IOC_v13.1
Phedina borbonica,Phedina borbonica,Phedina borbonica,Phedina borbonica,Phedina borbonica
Phedina brazzae,Phedina brazzae,Phedina brazzae,Phedinopsis brazzae,Phedinopsis brazzae
Ptyonoprogne rupestris,Ptyonoprogne rupestris,Hirundo rupestris,Ptyonoprogne rupestris,Ptyonoprogne rupestris
Ptyonoprogne fuligula,Ptyonoprogne fuligula,Hirundo obsoleta,Ptyonoprogne fuligula,Ptyonoprogne fuligula
Ptyonoprogne fuligula,Ptyonoprogne fuligula,Hirundo fuligula,Ptyonoprogne fuligula,Ptyonoprogne fuligula
Progne modesta,Progne modesta,Hirundo concolor,Progne modesta,Progne modesta
Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica,Hirundo rustica
Hirundo lucida,Hirundo lucida,Hirundo lucida,Hirundo lucida,Hirundo lucida
Hirundo aethiopica,Hirundo aethiopica,Hirundo aethiopica,Hirundo aethiopica,Hirundo aethiopica
Hirundo angolensis,Hirundo angolensis,Hirundo angolensis,Hirundo angolensis,Hirundo angolensis
Hirundo albigularis,Hirundo albigularis,Hirundo albigularis,Hirundo albigularis,Hirundo albigularis
Hirundo domicola,Hirundo domicola,Hirundo domicola,NA,Hirundo domicola
Hirundo tahitica,Hirundo tahitica,Hirundo tahitica,Hirundo tahitica,Hirundo tahitica
Hirundo neoxena,Hirundo neoxena,Hirundo neoxena,Hirundo neoxena,Hirundo neoxena
Hirundo smithii,Hirundo smithii,Hirundo smithii,Hirundo smithii,Hirundo smithii
Hirundo nigrita,Hirundo nigrita,Hirundo nigrita,Hirundo nigrita,Hirundo nigrita
Hirundo nigrorufa,Hirundo nigrorufa,Hirundo nigrorufa,Hirundo nigrorufa,Hirundo nigrorufa
Hirundo atrocaerulea,Hirundo atrocaerulea,Hirundo atrocaerulea,Hirundo atrocaerulea,Hirundo atrocaerulea
Hirundo leucosoma,Hirundo leucosoma,Hirundo leucosoma,Hirundo leucosoma,Hirundo leucosoma
Hirundo megaensis,Hirundo megaensis,Hirundo megaensis,Hirundo megaensis,Hirundo megaensis
Hirundo dimidiata,Hirundo dimidiata,Hirundo dimidiata,Hirundo dimidiata,Hirundo dimidiata
Cecropis cucullata,Cecropis cucullata,Hirundo cucullata,Cecropis cucullata,Cecropis cucullata
Cecropis abyssinica,Cecropis abyssinica,Hirundo abyssinica,Cecropis abyssinica,Cecropis abyssinica
Cecropis semirufa,Cecropis semirufa,Hirundo semirufa,Cecropis semirufa,Cecropis semirufa
Cecropis senegalensis,Cecropis senegalensis,Hirundo senegalensis,Cecropis senegalensis,Cecropis senegalensis
Cecropis daurica,Cecropis daurica,Hirundo daurica,Cecropis daurica,Cecropis daurica
Cecropis daurica,Cecropis daurica,Hirundo striolata,Cecropis daurica,Cecropis daurica
Petrochelidon preussi,Petrochelidon preussi,Hirundo preussi,Petrochelidon preussi,Petrochelidon preussi
Petrochelidon rufigula,Petrochelidon rufigula,Hirundo rufigula,Petrochelidon rufigula,Petrochelidon rufigula
Petrochelidon spilodera,Petrochelidon spilodera,Hirundo spilodera,Petrochelidon spilodera,Petrochelidon spilodera
Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota
Petrochelidon fulva,Petrochelidon fulva,Petrochelidon fulva,Petrochelidon fulva,Petrochelidon fulva
Petrochelidon rufocollaris,Petrochelidon rufocollaris,Petrochelidon rufocollaris,Petrochelidon rufocollaris,Petrochelidon rufocollaris
Petrochelidon nigricans,Petrochelidon nigricans,Hirundo nigricans,Petrochelidon nigricans,Petrochelidon nigricans
Petrochelidon fluvicola,Petrochelidon fluvicola,Hirundo fluvicola,Petrochelidon fluvicola,Petrochelidon fluvicola
Petrochelidon ariel,Petrochelidon ariel,Hirundo ariel,Petrochelidon ariel,Petrochelidon ariel
Atronanus fuliginosus,Atronanus fuliginosus,Hirundo fuliginosa,Atronanus fuliginosus,Petrochelidon fuliginosa
Delichon urbicum,Delichon urbicum,Delichon urbicum,Delichon urbicum,Delichon urbicum
Delichon dasypus,Delichon dasypus,Delichon dasypus,Delichon dasypus,Delichon dasypus
Delichon nipalense,Delichon nipalense,Delichon nipalense,Delichon nipalense,Delichon nipalense
Psalidoprocne nitens,Psalidoprocne nitens,Psalidoprocne nitens,Psalidoprocne nitens,Psalidoprocne nitens
Psalidoprocne fuliginosa,Psalidoprocne fuliginosa,Psalidoprocne fuliginosa,Psalidoprocne fuliginosa,Psalidoprocne fuliginosa
Psalidoprocne albiceps,Psalidoprocne albiceps,Psalidoprocne albiceps,Psalidoprocne albiceps,Psalidoprocne albiceps
Psalidoprocne pristoptera,Psalidoprocne pristoptera,Psalidoprocne pristoptera,Psalidoprocne pristoptera,Psalidoprocne pristoptera
Psalidoprocne obscura,Psalidoprocne obscura,Psalidoprocne obscura,Psalidoprocne obscura,Psalidoprocne obscura
Corthylio calendula,Corthylio calendula,Regulus calendula,Corthylio calendula,Corthylio calendula
Regulus regulus,Regulus regulus,Regulus regulus,Regulus regulus,Regulus regulus
Regulus goodfellowi,Regulus goodfellowi,Regulus goodfellowi,Regulus goodfellowi,Regulus goodfellowi
Regulus ignicapilla,Regulus ignicapilla,Regulus ignicapilla,Regulus ignicapilla,Regulus ignicapilla
Regulus satrapa,Regulus satrapa,Regulus satrapa,Regulus satrapa,Regulus satrapa
Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons
Spizixos semitorques,Spizixos semitorques,Spizixos semitorques,Spizixos semitorques,Spizixos semitorques
Pycnonotus zeylanicus,Pycnonotus zeylanicus,Pycnonotus zeylanicus,Pycnonotus zeylanicus,Pycnonotus zeylanicus
Pycnonotus striatus,Pycnonotus striatus,Pycnonotus striatus,Alcurus striatus,Alcurus striatus
Pycnonotus leucogrammicus,Pycnonotus leucogrammicus,Pycnonotus leucogrammicus,Hemixos leucogrammicus,Hemixos leucogrammicus
Pycnonotus tympanistrigus,Pycnonotus tympanistrigus,Pycnonotus tympanistrigus,Pycnonotus tympanistrigus,Alcurus tympanistrigus
Brachypodius melanoleucos,Brachypodius melanoleucos,Pycnonotus melanoleucos,Microtarsus melanoleucos,Microtarsus melanoleucos
Brachypodius priocephalus,Brachypodius priocephalus,Pycnonotus priocephalus,Brachypodius priocephalus,Brachypodius priocephalus
Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,Brachypodius atriceps,Brachypodius melanocephalos
Rubigula flaviventris,Rubigula flaviventris,Pycnonotus melanicterus,Rubigula flaviventris,Rubigula flaviventris
Rubigula squamata,Rubigula squamata,Pycnonotus squamatus,Ixidia squamata,Ixodia squamata
Rubigula cyaniventris,Rubigula cyaniventris,Pycnonotus cyaniventris,Ixidia cyaniventris,Ixodia cyaniventris
Pycnonotus jocosus,Pycnonotus jocosus,Pycnonotus jocosus,Pycnonotus jocosus,Pycnonotus jocosus
Pycnonotus xanthorrhous,Pycnonotus xanthorrhous,Pycnonotus xanthorrhous,Pycnonotus xanthorrhous,Pycnonotus xanthorrhous
Pycnonotus sinensis,Pycnonotus sinensis,Pycnonotus sinensis,Pycnonotus sinensis,Pycnonotus sinensis
Pycnonotus taivanus,Pycnonotus taivanus,Pycnonotus taivanus,Pycnonotus taivanus,Pycnonotus taivanus
Pycnonotus barbatus,Pycnonotus barbatus,Pycnonotus barbatus,Pycnonotus barbatus,Pycnonotus barbatus
Pycnonotus nigricans,Pycnonotus nigricans,Pycnonotus nigricans,Pycnonotus nigricans,Pycnonotus nigricans
Pycnonotus capensis,Pycnonotus capensis,Pycnonotus capensis,Pycnonotus capensis,Pycnonotus capensis
Pycnonotus xanthopygos,Pycnonotus xanthopygos,Pycnonotus xanthopygos,Pycnonotus xanthopygos,Pycnonotus xanthopygos
Pycnonotus leucotis,Pycnonotus leucotis,Pycnonotus leucotis,Pycnonotus leucotis,Pycnonotus leucotis
Pycnonotus leucogenys,Pycnonotus leucogenys,Pycnonotus leucogenys,Pycnonotus leucogenys,Pycnonotus leucogenys
Pycnonotus cafer,Pycnonotus cafer,Pycnonotus cafer,Pycnonotus cafer,Pycnonotus cafer
Pycnonotus aurigaster,Pycnonotus aurigaster,Pycnonotus aurigaster,Pycnonotus aurigaster,Pycnonotus aurigaster
Brachypodius eutilotus,Brachypodius eutilotus,Pycnonotus eutilotus,Euptilotus eutilotus,Euptilotus eutilotus
Pycnonotus nieuwenhuisii,Pycnonotus nieuwenhuisii,Pycnonotus nieuwenhuisii,Pycnonotus nieuwenhuisii,Brachypodius nieuwenhuisii
Brachypodius urostictus,Brachypodius urostictus,Pycnonotus urostictus,Poliolophus urostictus,Poliolophus urostictus
Pycnonotus bimaculatus,Pycnonotus bimaculatus,Pycnonotus bimaculatus,Pycnonotus bimaculatus,Pycnonotus bimaculatus
Pycnonotus finlaysoni,Pycnonotus finlaysoni,Pycnonotus finlaysoni,Pycnonotus finlaysoni,Pycnonotus finlaysoni
Pycnonotus xantholaemus,Pycnonotus xantholaemus,Pycnonotus xantholaemus,Pycnonotus xantholaemus,Pycnonotus xantholaemus
Pycnonotus penicillatus,Pycnonotus penicillatus,Pycnonotus penicillatus,Pycnonotus penicillatus,Pycnonotus penicillatus
Pycnonotus flavescens,Pycnonotus flavescens,Pycnonotus flavescens,Pycnonotus flavescens,Pycnonotus flavescens
Pycnonotus luteolus,Pycnonotus luteolus,Pycnonotus luteolus,Pycnonotus luteolus,Pycnonotus luteolus
Pycnonotus goiavier,Pycnonotus goiavier,Pycnonotus goiavier,Pycnonotus goiavier,Pycnonotus goiavier
Pycnonotus plumosus,Pycnonotus plumosus,Pycnonotus plumosus,Pycnonotus plumosus,Pycnonotus plumosus
Pycnonotus blanfordi,Pycnonotus blanfordi,Pycnonotus blanfordi,Pycnonotus blanfordi,Pycnonotus blanfordi
Pycnonotus simplex,Pycnonotus simplex,Pycnonotus simplex,Pycnonotus simplex,Pycnonotus simplex
Pycnonotus brunneus,Pycnonotus brunneus,Pycnonotus brunneus,Pycnonotus brunneus,Pycnonotus brunneus
Rubigula erythropthalmos,Rubigula erythropthalmos,Pycnonotus erythropthalmos,Ixidia erythropthalmos,Ixodia erythropthalmos
Arizelocichla montana,Arizelocichla montana,Andropadus montanus,Arizelocichla montana,Arizelocichla montana
Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,Arizelocichla masukuensis,Arizelocichla masukuensis
Eurillas virens,Eurillas virens,Andropadus virens,Eurillas virens,Eurillas virens
Eurillas gracilis,Eurillas gracilis,Andropadus gracilis,Eurillas gracilis,Eurillas gracilis
Eurillas ansorgei,Eurillas ansorgei,Andropadus ansorgei,Eurillas ansorgei,Eurillas ansorgei
Eurillas curvirostris,Eurillas curvirostris,Andropadus curvirostris,Eurillas curvirostris,Eurillas curvirostris
Stelgidillas gracilirostris,Stelgidillas gracilirostris,Andropadus gracilirostris,Stelgidillas gracilirostris,Stelgidillas gracilirostris
Andropadus importunus,Andropadus importunus,Andropadus importunus,Andropadus importunus,Andropadus importunus
Eurillas latirostris,Eurillas latirostris,Andropadus latirostris,Eurillas latirostris,Eurillas latirostris
Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus tephrolaemus,Arizelocichla masukuensis,Arizelocichla masukuensis
Arizelocichla milanjensis,Arizelocichla milanjensis,Andropadus milanjensis,Arizelocichla milanjensis,Arizelocichla milanjensis
Calyptocichla serinus,Calyptocichla serinus,Calyptocichla serina,Calyptocichla serinus,Calyptocichla serinus
Baeopogon indicator,Baeopogon indicator,Baeopogon indicator,Baeopogon indicator,Baeopogon indicator
Baeopogon clamans,Baeopogon clamans,Baeopogon clamans,Baeopogon clamans,Baeopogon clamans
Ixonotus guttatus,Ixonotus guttatus,Ixonotus guttatus,Ixonotus guttatus,Ixonotus guttatus
Chlorocichla simplex,Chlorocichla simplex,Chlorocichla simplex,Chlorocichla simplex,Chlorocichla simplex
Arizelocichla chlorigula,Arizelocichla chlorigula,Chlorocichla flavicollis,Arizelocichla chlorigula,Arizelocichla chlorigula
Chlorocichla falkensteini,Chlorocichla falkensteini,Chlorocichla falkensteini,Chlorocichla falkensteini,Chlorocichla falkensteini
Chlorocichla flaviventris,Chlorocichla flaviventris,Chlorocichla flaviventris,Chlorocichla flaviventris,Chlorocichla flaviventris
Chlorocichla laetissima,Chlorocichla laetissima,Chlorocichla laetissima,Chlorocichla laetissima,Chlorocichla laetissima
Chlorocichla prigoginei,Chlorocichla prigoginei,Chlorocichla prigoginei,Chlorocichla prigoginei,Chlorocichla prigoginei
Thescelocichla leucopleura,Thescelocichla leucopleura,Thescelocichla leucopleura,Thescelocichla leucopleura,Thescelocichla leucopleura
Phyllastrephus scandens,Phyllastrephus scandens,Pyrrhurus scandens,Pyrrhurus scandens,Phyllastrephus scandens
Phyllastrephus cabanisi,Phyllastrephus cabanisi,Phyllastrephus cabanisi,Phyllastrephus cabanisi,Phyllastrephus cabanisi
Phyllastrephus fischeri,Phyllastrephus fischeri,Phyllastrephus fischeri,Phyllastrephus fischeri,Phyllastrephus fischeri
Phyllastrephus terrestris,Phyllastrephus terrestris,Phyllastrephus terrestris,Phyllastrephus terrestris,Phyllastrephus terrestris
Phyllastrephus strepitans,Phyllastrephus strepitans,Phyllastrephus strepitans,Phyllastrephus strepitans,Phyllastrephus strepitans
Phyllastrephus fulviventris,Phyllastrephus fulviventris,Phyllastrephus fulviventris,Phyllastrephus fulviventris,Phyllastrephus fulviventris
Phyllastrephus cerviniventris,Phyllastrephus cerviniventris,Phyllastrephus cerviniventris,Phyllastrephus cerviniventris,Phyllastrephus cerviniventris
Phyllastrephus baumanni,Phyllastrephus baumanni,Phyllastrephus baumanni,Phyllastrephus baumanni,Phyllastrephus baumanni
Phyllastrephus poensis,Phyllastrephus poensis,Phyllastrephus poensis,Phyllastrephus poensis,Phyllastrephus poensis
Phyllastrephus hypochloris,Phyllastrephus hypochloris,Phyllastrephus hypochloris,Phyllastrephus hypochloris,Phyllastrephus hypochloris
Phyllastrephus lorenzi,Phyllastrephus lorenzi,Phyllastrephus lorenzi,Phyllastrephus lorenzi,Phyllastrephus lorenzi
Phyllastrephus poliocephalus,Phyllastrephus poliocephalus,Phyllastrephus poliocephalus,Phyllastrephus poliocephalus,Phyllastrephus poliocephalus
Phyllastrephus flavostriatus,Phyllastrephus flavostriatus,Phyllastrephus flavostriatus,Phyllastrephus flavostriatus,Phyllastrephus flavostriatus
Phyllastrephus debilis,Phyllastrephus debilis,Phyllastrephus debilis,Phyllastrephus debilis,Phyllastrephus debilis
Phyllastrephus albigularis,Phyllastrephus albigularis,Phyllastrephus albigularis,Phyllastrephus albigularis,Phyllastrephus albigularis
Phyllastrephus icterinus,Phyllastrephus icterinus,Phyllastrephus icterinus,Phyllastrephus icterinus,Phyllastrephus icterinus
Phyllastrephus xavieri,Phyllastrephus xavieri,Phyllastrephus xavieri,Phyllastrephus xavieri,Phyllastrephus xavieri
Bernieria madagascariensis,Bernieria madagascariensis,Bernieria madagascariensis,Bernieria madagascariensis,Bernieria madagascariensis
Xanthomixis zosterops,Xanthomixis zosterops,Bernieria zosterops,Xanthomixis zosterops,Xanthomixis zosterops
Xanthomixis apperti,Xanthomixis apperti,Bernieria apperti,Xanthomixis apperti,Xanthomixis apperti
Xanthomixis tenebrosa,Xanthomixis tenebrosa,Bernieria tenebrosa,Crossleyia tenebrosa,Xanthomixis tenebrosa
Xanthomixis cinereiceps,Xanthomixis cinereiceps,Bernieria cinereiceps,Xanthomixis cinereiceps,Xanthomixis cinereiceps
Bleda syndactylus,Bleda syndactylus,Bleda syndactylus,Bleda syndactylus,Bleda syndactylus
Bleda eximius,Bleda eximius,Bleda eximius,Bleda eximius,Bleda eximius
Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus,Bleda canicapillus
Nicator chloris,Nicator chloris,Nicator chloris,Nicator chloris,Nicator chloris
Nicator gularis,Nicator gularis,Nicator gularis,Nicator gularis,Nicator gularis
Nicator vireo,Nicator vireo,Nicator vireo,Nicator vireo,Nicator vireo
Criniger barbatus,Criniger barbatus,Criniger barbatus,Criniger barbatus,Criniger barbatus
Criniger chloronotus,Criniger chloronotus,Criniger chloronotus,Criniger chloronotus,Criniger chloronotus
Criniger calurus,Criniger calurus,Criniger calurus,Criniger calurus,Criniger calurus
Criniger olivaceus,Criniger olivaceus,Criniger olivaceus,Criniger olivaceus,Criniger olivaceus
Criniger ndussumensis,Criniger ndussumensis,Criniger ndussumensis,Criniger ndussumensis,Criniger ndussumensis
Alophoixus finschii,Alophoixus finschii,Alophoixus finschii,Iole finschii,Iole finschii
Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus
Alophoixus pallidus,Alophoixus pallidus,Alophoixus pallidus,Alophoixus pallidus,Alophoixus pallidus
Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus
Alophoixus bres,Alophoixus bres,Alophoixus bres,Alophoixus bres,Alophoixus bres
Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus
Hypsipetes affinis,Alophoixus affinis,Alophoixus affinis,NA,NA
Setornis criniger,Setornis criniger,Setornis criniger,Setornis criniger,Setornis criniger
Tricholestes criniger,Tricholestes criniger,Tricholestes criniger,Tricholestes criniger,Tricholestes criniger
Iole propinqua,Iole propinqua,Iole virescens,Iole propinqua,Iole propinqua
Iole propinqua,Iole propinqua,Iole propinqua,Iole propinqua,Iole propinqua
Iole crypta,Iole crypta,Iole olivacea,NA,Iole crypta
Iole indica,Iole indica,Iole indica,Acritillas indica,Acritillas indica
Iole palawanensis,Iole palawanensis,Ixos palawanensis,Iole palawanensis,Iole palawanensis
Hypsipetes guimarasensis,Hypsipetes guimarasensis,Ixos philippinus,NA,Hypsipetes guimarasensis
Hypsipetes rufigularis,Hypsipetes rufigularis,Ixos rufigularis,Hypsipetes rufigularis,Hypsipetes rufigularis
Hypsipetes siquijorensis,Hypsipetes siquijorensis,Ixos siquijorensis,Hypsipetes siquijorensis,Hypsipetes siquijorensis
Hypsipetes amaurotis,Hypsipetes amaurotis,Ixos amaurotis,Hypsipetes amaurotis,Hypsipetes amaurotis
Hypsipetes everetti,Hypsipetes everetti,Ixos everetti,Hypsipetes everetti,Hypsipetes everetti
Ixos malaccensis,Ixos malaccensis,Ixos malaccensis,Ixos malaccensis,Ixos malaccensis
Hemixos flavala,Hemixos flavala,Hemixos flavala,Hemixos flavala,Hemixos flavala
Hemixos castanonotus,Hemixos castanonotus,Hemixos castanonotus,Hemixos castanonotus,Hemixos castanonotus
Ixos mcclellandii,Ixos mcclellandii,Hypsipetes mcclellandii,Ixos mcclellandii,Ixos mcclellandii
Iole propinqua,Iole propinqua,Hypsipetes virescens,Iole propinqua,Iole propinqua
Hypsipetes madagascariensis,Hypsipetes madagascariensis,Hypsipetes madagascariensis,Hypsipetes madagascariensis,Hypsipetes madagascariensis
Hypsipetes crassirostris,Hypsipetes crassirostris,Hypsipetes crassirostris,Hypsipetes crassirostris,Hypsipetes crassirostris
Hypsipetes parvirostris,Hypsipetes parvirostris,Hypsipetes parvirostris,Hypsipetes parvirostris,Hypsipetes parvirostris
Hypsipetes borbonicus,Hypsipetes borbonicus,Hypsipetes borbonicus,Hypsipetes borbonicus,Hypsipetes borbonicus
Hypsipetes olivaceus,Hypsipetes olivaceus,Hypsipetes olivaceus,Hypsipetes olivaceus,Hypsipetes olivaceus
Hypsipetes leucocephalus,Hypsipetes leucocephalus,Hypsipetes leucocephalus,Hypsipetes leucocephalus,Hypsipetes leucocephalus
Hypsipetes nicobariensis,Hypsipetes nicobariensis,Hypsipetes nicobariensis,Ixos nicobariensis,Ixos nicobariensis
Hypsipetes thompsoni,Hypsipetes thompsoni,Hypsipetes thompsoni,Hypsipetes thompsoni,Hypsipetes thompsoni
Neolestes torquatus,Neolestes torquatus,Neolestes torquatus,Neolestes torquatus,Neolestes torquatus
Malia grata,Malia grata,Malia grata,Malia grata,Malia grata
Hypocolius ampelinus,Hypocolius ampelinus,Hypocolius ampelinus,Hypocolius ampelinus,Hypocolius ampelinus
Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi
Cisticola erythrops,Cisticola erythrops,Cisticola erythrops,Cisticola erythrops,Cisticola erythrops
Cisticola cantans,Cisticola cantans,Cisticola cantans,Cisticola cantans,Cisticola cantans
Cisticola lateralis,Cisticola lateralis,Cisticola lateralis,Cisticola lateralis,Cisticola lateralis
Cisticola anonymus,Cisticola anonymus,Cisticola anonymus,Cisticola anonymus,Cisticola anonymus
Cisticola woosnami,Cisticola woosnami,Cisticola woosnami,Cisticola woosnami,Cisticola woosnami
Cisticola bulliens,Cisticola bulliens,Cisticola bulliens,Cisticola bulliens,Cisticola bulliens
Cisticola chubbi,Cisticola chubbi,Cisticola chubbi,Cisticola chubbi,Cisticola chubbi
Cisticola hunteri,Cisticola hunteri,Cisticola hunteri,Cisticola hunteri,Cisticola hunteri
Cisticola nigriloris,Cisticola nigriloris,Cisticola nigriloris,Cisticola nigriloris,Cisticola nigriloris
Cisticola aberrans,Cisticola aberrans,Cisticola aberrans,Cisticola aberrans,Cisticola aberrans
Cisticola bodessa,Cisticola bodessa,Cisticola bodessa,Cisticola bodessa,Cisticola bodessa
Cisticola chiniana,Cisticola chiniana,Cisticola chiniana,Cisticola chiniana,Cisticola chiniana
Cisticola cinereolus,Cisticola cinereolus,Cisticola cinereolus,Cisticola cinereolus,Cisticola cinereolus
Cisticola ruficeps,Cisticola ruficeps,Cisticola ruficeps,Cisticola ruficeps,Cisticola ruficeps
Cisticola guinea,Cisticola guinea,Cisticola guinea,Cisticola guinea,Cisticola guinea
Cisticola rufilatus,Cisticola rufilatus,Cisticola rufilatus,Cisticola rufilatus,Cisticola rufilatus
Cisticola subruficapilla,Cisticola subruficapilla,Cisticola subruficapilla,Cisticola subruficapilla,Cisticola subruficapilla
Cisticola lais,Cisticola lais,Cisticola lais,Cisticola lais,Cisticola lais
Cisticola restrictus,Cisticola restrictus,Cisticola restrictus,Cisticola restrictus,Cisticola restrictus
Cisticola njombe,Cisticola njombe,Cisticola njombe,Cisticola njombe,Cisticola njombe
Cisticola galactotes,Cisticola galactotes,Cisticola galactotes,Cisticola galactotes,Cisticola galactotes
Cisticola pipiens,Cisticola pipiens,Cisticola pipiens,Cisticola pipiens,Cisticola pipiens
Cisticola carruthersi,Cisticola carruthersi,Cisticola carruthersi,Cisticola carruthersi,Cisticola carruthersi
Cisticola tinniens,Cisticola tinniens,Cisticola tinniens,Cisticola tinniens,Cisticola tinniens
Cisticola robustus,Cisticola robustus,Cisticola robustus,Cisticola robustus,Cisticola robustus
Cisticola aberdare,Cisticola aberdare,Cisticola aberdare,Cisticola aberdare,Cisticola aberdare
Cisticola natalensis,Cisticola natalensis,Cisticola natalensis,Cisticola natalensis,Cisticola natalensis
Cisticola fulvicapilla,Cisticola fulvicapilla,Cisticola fulvicapilla,Cisticola fulvicapilla,Cisticola fulvicapilla
Cisticola angusticauda,Cisticola angusticauda,Cisticola angusticauda,Cisticola angusticauda,Cisticola angusticauda
Cisticola melanurus,Cisticola melanurus,Cisticola melanurus,Cisticola melanurus,Cisticola melanurus
Cisticola brachypterus,Cisticola brachypterus,Cisticola brachypterus,Cisticola brachypterus,Cisticola brachypterus
Cisticola rufus,Cisticola rufus,Cisticola rufus,Cisticola rufus,Cisticola rufus
Cisticola troglodytes,Cisticola troglodytes,Cisticola troglodytes,Cisticola troglodytes,Cisticola troglodytes
Cisticola nana,Cisticola nana,Cisticola nanus,Cisticola nana,Cisticola nana
Cisticola juncidis,Cisticola juncidis,Cisticola juncidis,Cisticola juncidis,Cisticola juncidis
Cisticola haesitatus,Cisticola haesitatus,Cisticola haesitatus,Cisticola haesitatus,Cisticola haesitatus
Cisticola cherina,Cisticola cherina,Cisticola cherina,Cisticola cherina,Cisticola cherina
Cisticola aridulus,Cisticola aridulus,Cisticola aridulus,Cisticola aridulus,Cisticola aridulus
Cisticola textrix,Cisticola textrix,Cisticola textrix,Cisticola textrix,Cisticola textrix
Cisticola eximius,Cisticola eximius,Cisticola eximius,Cisticola eximius,Cisticola eximius
Cisticola dambo,Cisticola dambo,Cisticola dambo,Cisticola dambo,Cisticola dambo
Cisticola brunnescens,Cisticola brunnescens,Cisticola brunnescens,Cisticola brunnescens,Cisticola brunnescens
Cisticola ayresii,Cisticola ayresii,Cisticola ayresii,Cisticola ayresii,Cisticola ayresii
Cisticola exilis,Cisticola exilis,Cisticola exilis,Cisticola exilis,Cisticola exilis
Incana incana,Incana incana,Incana incana,Incana incana,Incana incana
Scotocerca inquieta,Scotocerca inquieta,Scotocerca inquieta,Scotocerca inquieta,Scotocerca inquieta
Rhopophilus pekinensis,Rhopophilus pekinensis,Rhopophilus pekinensis,Rhopophilus pekinensis,Rhopophilus pekinensis
Laticilla burnesii,Laticilla burnesii,Prinia burnesii,Laticilla burnesii,Laticilla burnesii
Prinia crinigera,Prinia crinigera,Prinia crinigera,Prinia crinigera,Prinia crinigera
Prinia polychroa,Prinia polychroa,Prinia polychroa,Prinia polychroa,Prinia polychroa
Prinia atrogularis,Prinia atrogularis,Prinia atrogularis,Prinia atrogularis,Prinia atrogularis
Prinia cinereocapilla,Prinia cinereocapilla,Prinia cinereocapilla,Prinia cinereocapilla,Prinia cinereocapilla
Prinia buchanani,Prinia buchanani,Prinia buchanani,Prinia buchanani,Prinia buchanani
Prinia rufescens,Prinia rufescens,Prinia rufescens,Prinia rufescens,Prinia rufescens
Prinia hodgsonii,Prinia hodgsonii,Prinia hodgsonii,Prinia hodgsonii,Prinia hodgsonii
Prinia gracilis,Prinia gracilis,Prinia gracilis,Prinia gracilis,Prinia gracilis
Prinia sylvatica,Prinia sylvatica,Prinia sylvatica,Prinia sylvatica,Prinia sylvatica
Prinia familiaris,Prinia familiaris,Prinia familiaris,Prinia familiaris,Prinia familiaris
Prinia flaviventris,Prinia flaviventris,Prinia flaviventris,Prinia flaviventris,Prinia flaviventris
Prinia socialis,Prinia socialis,Prinia socialis,Prinia socialis,Prinia socialis
Prinia subflava,Prinia subflava,Prinia subflava,Prinia subflava,Prinia subflava
Prinia somalica,Prinia somalica,Prinia somalica,Prinia somalica,Prinia somalica
Prinia inornata,Prinia inornata,Prinia inornata,Prinia inornata,Prinia inornata
Prinia fluviatilis,Prinia fluviatilis,Prinia fluviatilis,Prinia fluviatilis,Prinia fluviatilis
Prinia flavicans,Prinia flavicans,Prinia flavicans,Prinia flavicans,Prinia flavicans
Prinia maculosa,Prinia maculosa,Prinia maculosa,Prinia maculosa,Prinia maculosa
Prinia molleri,Prinia molleri,Prinia molleri,Prinia molleri,Prinia molleri
Oreophilais robertsi,Oreophilais robertsi,Prinia robertsi,Oreophilais robertsi,Oreophilais robertsi
Schistolais leontica,Schistolais leontica,Prinia leontica,Schistolais leontica,Schistolais leontica
Schistolais leucopogon,Schistolais leucopogon,Prinia leucopogon,Schistolais leucopogon,Schistolais leucopogon
Prinia bairdii,Prinia bairdii,Prinia bairdii,Prinia bairdii,Prinia bairdii
Phragmacia substriata,Phragmacia substriata,Phragmacia substriata,Phragmacia substriata,Phragmacia substriata
Prinia erythroptera,Prinia erythroptera,Heliolais erythropterus,Prinia erythroptera,Prinia erythroptera
Malcorus pectoralis,Malcorus pectoralis,Malcorus pectoralis,Malcorus pectoralis,Malcorus pectoralis
